State,Year,Total Approvals,Total Applications,Approval Rate
AL,2023,6000563,11483889,52.25201149192578
AL,2022,8823472,16099307,54.806532976854214
AL,2021,15697898,26227364,59.853128968660364
AL,2020,15298091,25699043,59.527862574493525
AK,2023,6000563,11483889,52.25201149192578
AK,2022,8823472,16099307,54.806532976854214
AK,2021,15697898,26227364,59.853128968660364
AK,2020,15298091,25699043,59.527862574493525
AZ,2023,6000563,11483889,52.25201149192578
AZ,2022,8823472,16099307,54.806532976854214
AZ,2021,15697898,26227364,59.853128968660364
AZ,2020,15298091,25699043,59.527862574493525
AR,2023,6000563,11483889,52.25201149192578
AR,2022,8823472,16099307,54.806532976854214
AR,2021,15697898,26227364,59.853128968660364
AR,2020,15298091,25699043,59.527862574493525
CA,2023,6000563,11483889,52.25201149192578
CA,2022,8823472,16099307,54.806532976854214
CA,2021,15697898,26227364,59.853128968660364
CA,2020,15298091,25699043,59.527862574493525
CO,2023,6000563,11483889,52.25201149192578
CO,2022,8823472,16099307,54.806532976854214
CO,2021,15697898,26227364,59.853128968660364
CO,2020,15298091,25699043,59.527862574493525
CT,2023,6000563,11483889,52.25201149192578
CT,2022,8823472,16099307,54.806532976854214
CT,2021,15697898,26227364,59.853128968660364
CT,2020,15298091,25699043,59.527862574493525
DE,2023,6000563,11483889,52.25201149192578
DE,2022,8823472,16099307,54.806532976854214
DE,2021,15697898,26227364,59.853128968660364
DE,2020,15298091,25699043,59.527862574493525
FL,2023,6000563,11483889,52.25201149192578
FL,2022,8823472,16099307,54.806532976854214
FL,2021,15697898,26227364,59.853128968660364
FL,2020,15298091,25699043,59.527862574493525
GA,2023,6000563,11483889,52.25201149192578
GA,2022,8823472,16099307,54.806532976854214
GA,2021,15697898,26227364,59.853128968660364
GA,2020,15298091,25699043,59.527862574493525
HI,2023,6000563,11483889,52.25201149192578
HI,2022,8823472,16099307,54.806532976854214
HI,2021,15697898,26227364,59.853128968660364
HI,2020,15298091,25699043,59.527862574493525
ID,2023,6000563,11483889,52.25201149192578
ID,2022,8823472,16099307,54.806532976854214
ID,2021,15697898,26227364,59.853128968660364
ID,2020,15298091,25699043,59.527862574493525
IL,2023,6000563,11483889,52.25201149192578
IL,2022,8823472,16099307,54.806532976854214
IL,2021,15697898,26227364,59.853128968660364
IL,2020,15298091,25699043,59.527862574493525
IN,2023,6000563,11483889,52.25201149192578
IN,2022,8823472,16099307,54.806532976854214
IN,2021,15697898,26227364,59.853128968660364
IN,2020,15298091,25699043,59.527862574493525
IA,2023,6000563,11483889,52.25201149192578
IA,2022,8823472,16099307,54.806532976854214
IA,2021,15697898,26227364,59.853128968660364
IA,2020,15298091,25699043,59.527862574493525
KS,2023,6000563,11483889,52.25201149192578
KS,2022,8823472,16099307,54.806532976854214
KS,2021,15697898,26227364,59.853128968660364
KS,2020,15298091,25699043,59.527862574493525
KY,2023,6000563,11483889,52.25201149192578
KY,2022,8823472,16099307,54.806532976854214
KY,2021,15697898,26227364,59.853128968660364
KY,2020,15298091,25699043,59.527862574493525
LA,2023,6000563,11483889,52.25201149192578
LA,2022,8823472,16099307,54.806532976854214
LA,2021,15697898,26227364,59.853128968660364
LA,2020,15298091,25699043,59.527862574493525
ME,2023,6000563,11483889,52.25201149192578
ME,2022,8823472,16099307,54.806532976854214
ME,2021,15697898,26227364,59.853128968660364
ME,2020,15298091,25699043,59.527862574493525
MD,2023,6000563,11483889,52.25201149192578
MD,2022,8823472,16099307,54.806532976854214
MD,2021,15697898,26227364,59.853128968660364
MD,2020,15298091,25699043,59.527862574493525
MA,2023,6000563,11483889,52.25201149192578
MA,2022,8823472,16099307,54.806532976854214
MA,2021,15697898,26227364,59.853128968660364
MA,2020,15298091,25699043,59.527862574493525
MI,2023,6000563,11483889,52.25201149192578
MI,2022,8823472,16099307,54.806532976854214
MI,2021,15697898,26227364,59.853128968660364
MI,2020,15298091,25699043,59.527862574493525
MN,2023,6000563,11483889,52.25201149192578
MN,2022,8823472,16099307,54.806532976854214
MN,2021,15697898,26227364,59.853128968660364
MN,2020,15298091,25699043,59.527862574493525
MS,2023,6000563,11483889,52.25201149192578
MS,2022,8823472,16099307,54.806532976854214
MS,2021,15697898,26227364,59.853128968660364
MS,2020,15298091,25699043,59.527862574493525
MO,2023,6000563,11483889,52.25201149192578
MO,2022,8823472,16099307,54.806532976854214
MO,2021,15697898,26227364,59.853128968660364
MO,2020,15298091,25699043,59.527862574493525
MT,2023,6000563,11483889,52.25201149192578
MT,2022,8823472,16099307,54.806532976854214
MT,2021,15697898,26227364,59.853128968660364
MT,2020,15298091,25699043,59.527862574493525
NE,2023,6000563,11483889,52.25201149192578
NE,2022,8823472,16099307,54.806532976854214
NE,2021,15697898,26227364,59.853128968660364
NE,2020,15298091,25699043,59.527862574493525
NV,2023,6000563,11483889,52.25201149192578
NV,2022,8823472,16099307,54.806532976854214
NV,2021,15697898,26227364,59.853128968660364
NV,2020,15298091,25699043,59.527862574493525
NH,2023,6000563,11483889,52.25201149192578
NH,2022,8823472,16099307,54.806532976854214
NH,2021,15697898,26227364,59.853128968660364
NH,2020,15298091,25699043,59.527862574493525
NJ,2023,6000563,11483889,52.25201149192578
NJ,2022,8823472,16099307,54.806532976854214
NJ,2021,15697898,26227364,59.853128968660364
NJ,2020,15298091,25699043,59.527862574493525
NM,2023,6000563,11483889,52.25201149192578
NM,2022,8823472,16099307,54.806532976854214
NM,2021,15697898,26227364,59.853128968660364
NM,2020,15298091,25699043,59.527862574493525
NY,2023,6000563,11483889,52.25201149192578
NY,2022,8823472,16099307,54.806532976854214
NY,2021,15697898,26227364,59.853128968660364
NY,2020,15298091,25699043,59.527862574493525
NC,2023,6000563,11483889,52.25201149192578
NC,2022,8823472,16099307,54.806532976854214
NC,2021,15697898,26227364,59.853128968660364
NC,2020,15298091,25699043,59.527862574493525
ND,2023,6000563,11483889,52.25201149192578
ND,2022,8823472,16099307,54.806532976854214
ND,2021,15697898,26227364,59.853128968660364
ND,2020,15298091,25699043,59.527862574493525
OH,2023,6000563,11483889,52.25201149192578
OH,2022,8823472,16099307,54.806532976854214
OH,2021,15697898,26227364,59.853128968660364
OH,2020,15298091,25699043,59.527862574493525
OK,2023,6000563,11483889,52.25201149192578
OK,2022,8823472,16099307,54.806532976854214
OK,2021,15697898,26227364,59.853128968660364
OK,2020,15298091,25699043,59.527862574493525
OR,2023,6000563,11483889,52.25201149192578
OR,2022,8823472,16099307,54.806532976854214
OR,2021,15697898,26227364,59.853128968660364
OR,2020,15298091,25699043,59.527862574493525
PA,2023,6000563,11483889,52.25201149192578
PA,2022,8823472,16099307,54.806532976854214
PA,2021,15697898,26227364,59.853128968660364
PA,2020,15298091,25699043,59.527862574493525
RI,2023,6000563,11483889,52.25201149192578
RI,2022,8823472,16099307,54.806532976854214
RI,2021,15697898,26227364,59.853128968660364
RI,2020,15298091,25699043,59.527862574493525
SC,2023,6000563,11483889,52.25201149192578
SC,2022,8823472,16099307,54.806532976854214
SC,2021,15697898,26227364,59.853128968660364
SC,2020,15298091,25699043,59.527862574493525
SD,2023,6000563,11483889,52.25201149192578
SD,2022,8823472,16099307,54.806532976854214
SD,2021,15697898,26227364,59.853128968660364
SD,2020,15298091,25699043,59.527862574493525
TN,2023,6000563,11483889,52.25201149192578
TN,2022,8823472,16099307,54.806532976854214
TN,2021,15697898,26227364,59.853128968660364
TN,2020,15298091,25699043,59.527862574493525
TX,2023,6000563,11483889,52.25201149192578
TX,2022,8823472,16099307,54.806532976854214
TX,2021,15697898,26227364,59.853128968660364
TX,2020,15298091,25699043,59.527862574493525
UT,2023,6000563,11483889,52.25201149192578
UT,2022,8823472,16099307,54.806532976854214
UT,2021,15697898,26227364,59.853128968660364
UT,2020,15298091,25699043,59.527862574493525
VT,2023,6000563,11483889,52.25201149192578
VT,2022,8823472,16099307,54.806532976854214
VT,2021,15697898,26227364,59.853128968660364
VT,2020,15298091,25699043,59.527862574493525
VA,2023,6000563,11483889,52.25201149192578
VA,2022,8823472,16099307,54.806532976854214
VA,2021,15697898,26227364,59.853128968660364
VA,2020,15298091,25699043,59.527862574493525
WA,2023,6000563,11483889,52.25201149192578
WA,2022,8823472,16099307,54.806532976854214
WA,2021,15697898,26227364,59.853128968660364
WA,2020,15298091,25699043,59.527862574493525
WV,2023,6000563,11483889,52.25201149192578
WV,2022,8823472,16099307,54.806532976854214
WV,2021,15697898,26227364,59.853128968660364
WV,2020,15298091,25699043,59.527862574493525
WI,2023,6000563,11483889,52.25201149192578
WI,2022,8823472,16099307,54.806532976854214
WI,2021,15697898,26227364,59.853128968660364
WI,2020,15298091,25699043,59.527862574493525
WY,2023,6000563,11483889,52.25201149192578
WY,2022,8823472,16099307,54.806532976854214
WY,2021,15697898,26227364,59.853128968660364
WY,2020,15298091,25699043,59.527862574493525
DC,2023,6000563,11483889,52.25201149192578
DC,2022,8823472,16099307,54.806532976854214
DC,2021,15697898,26227364,59.853128968660364
DC,2020,15298091,25699043,59.527862574493525
